SYMBOL,SYMBOL WITH NS,'SYMBOL WITH NS,TICKERS,NAME OF COMPANY,SERIES,DATE OF LISTING,PAID UP VALUE,MARKET LOT,ISIN NUMBER,FACE VALUE
20MICRONS,20MICRONS.NS,'20MICRONS.NS,'21STCENMGM.NS',20 Microns Limited,EQ,06-Oct-2008,5,1,INE144J01027,5
21STCENMGM,21STCENMGM.NS,'21STCENMGM.NS,'3IINFOTECH.NS',21st Century Management Services Limited,EQ,03-May-1995,10,1,INE253B01015,10
3IINFOTECH,3IINFOTECH.NS,'3IINFOTECH.NS,'3MINDIA.NS',3i Infotech Limited,EQ,22-Apr-2005,10,1,INE748C01020,10
3MINDIA,3MINDIA.NS,'3MINDIA.NS,'3PLAND.NS',3M India Limited,EQ,13-Aug-2004,10,1,INE470A01017,10
3PLAND,3PLAND.NS,'3PLAND.NS,'5PAISA.NS',3P Land Holdings Limited,EQ,19-Jul-1995,2,1,INE105C01023,2
5PAISA,5PAISA.NS,'5PAISA.NS,'63MOONS.NS',5Paisa Capital Limited,EQ,16-Nov-2017,10,1,INE618L01018,10
63MOONS,63MOONS.NS,'63MOONS.NS,'A2ZINFRA.NS',63 moons technologies limited,BE,20-Jun-2005,2,1,INE111B01023,2
A2ZINFRA,A2ZINFRA.NS,'A2ZINFRA.NS,'AAKASH.NS',A2Z Infra Engineering Limited,EQ,23-Dec-2010,10,1,INE619I01012,10
AAKASH,AAKASH.NS,'AAKASH.NS,'AARON.NS',Aakash Exploration Services Limited,EQ,29-Sep-2020,10,1,INE087Z01016,10
AARON,AARON.NS,'AARON.NS,'AARTIDRUGS.NS',Aaron Industries Limited,EQ,06-Nov-2020,10,1,INE721Z01010,10
AARTIDRUGS,AARTIDRUGS.NS,'AARTIDRUGS.NS,'AARTIIND.NS',Aarti Drugs Limited,EQ,19-Sep-2003,10,1,INE767A01016,10
AARTIIND,AARTIIND.NS,'AARTIIND.NS,'AARTISURF.NS',Aarti Industries Limited,EQ,08-Feb-1995,5,1,INE769A01020,5
AARTISURF,AARTISURF.NS,'AARTISURF.NS,'AARVEEDEN.NS',Aarti Surfactants Limited,EQ,14-Jul-2020,10,1,INE09EO01013,10
AARVEEDEN,AARVEEDEN.NS,'AARVEEDEN.NS,'AARVI.NS',Aarvee Denims & Exports Limited,BE,21-Nov-2006,10,1,INE273D01019,10
AARVI,AARVI.NS,'AARVI.NS,'AAVAS.NS',Aarvi Encon Limited,EQ,24-Jun-2020,10,1,INE754X01016,10
AAVAS,AAVAS.NS,'AAVAS.NS,'ABAN.NS',Aavas Financiers Limited,EQ,08-Oct-2018,10,1,INE216P01012,10
ABAN,ABAN.NS,'ABAN.NS,'ABB.NS',Aban Offshore Limited,EQ,29-Mar-1995,2,1,INE421A01028,2
ABB,ABB.NS,'ABB.NS,'ABBOTINDIA.NS',ABB India Limited,EQ,08-Feb-1995,2,1,INE117A01022,2
ABBOTINDIA,ABBOTINDIA.NS,'ABBOTINDIA.NS,'ABCAPITAL.NS',Abbott India Limited,EQ,08-Jan-2010,10,1,INE358A01014,10
ABCAPITAL,ABCAPITAL.NS,'ABCAPITAL.NS,'ABFRL.NS',Aditya Birla Capital Limited,EQ,01-Sep-2017,10,1,INE674K01013,10
ABFRL,ABFRL.NS,'ABFRL.NS,'ABMINTLTD.NS',Aditya Birla Fashion and Retail Limited,EQ,17-Jul-2013,10,1,INE647O01011,10
ABMINTLTD,ABMINTLTD.NS,'ABMINTLTD.NS,'ACC.NS',ABM International Limited,EQ,14-Jun-2016,10,1,INE251C01017,10
ACC,ACC.NS,'ACC.NS,'ACCELYA.NS',ACC Limited,EQ,20-Nov-1996,10,1,INE012A01025,10
ACCELYA,ACCELYA.NS,'ACCELYA.NS,'ACCURACY.NS',Accelya Solutions India Limited,EQ,01-Dec-1999,10,1,INE793A01012,10
ACCURACY,ACCURACY.NS,'ACCURACY.NS,'ACE.NS',Accuracy Shipping Limited,EQ,11-Dec-2020,10,1,INE648Z01015,10
ACE,ACE.NS,'ACE.NS,'ACRYSIL.NS',Action Construction Equipment Limited,EQ,26-Sep-2006,2,1,INE731H01025,2
ACRYSIL,ACRYSIL.NS,'ACRYSIL.NS,'ADANIENT.NS',Acrysil Limited,EQ,14-Jan-2021,2,1,INE482D01024,2
ADANIENT,ADANIENT.NS,'ADANIENT.NS,'ADANIGREEN.NS',Adani Enterprises Limited,EQ,04-Jun-1997,1,1,INE423A01024,1
ADANIGREEN,ADANIGREEN.NS,'ADANIGREEN.NS,'ADANIPORTS.NS',Adani Green Energy Limited,EQ,18-Jun-2018,10,1,INE364U01010,10
ADANIPORTS,ADANIPORTS.NS,'ADANIPORTS.NS,'ADANIPOWER.NS',Adani Ports and Special Economic Zone Limited,EQ,27-Nov-2007,2,1,INE742F01042,2
ADANIPOWER,ADANIPOWER.NS,'ADANIPOWER.NS,'ADANITRANS.NS',Adani Power Limited,EQ,20-Aug-2009,10,1,INE814H01011,10
ADANITRANS,ADANITRANS.NS,'ADANITRANS.NS,'ADFFOODS.NS',Adani Transmission Limited,EQ,31-Jul-2015,10,1,INE931S01010,10
ADFFOODS,ADFFOODS.NS,'ADFFOODS.NS,'ADHUNIKIND.NS',ADF Foods Limited,EQ,15-Sep-2010,10,1,INE982B01019,10
ADHUNIKIND,ADHUNIKIND.NS,'ADHUNIKIND.NS,'ADL.NS',Adhunik Industries Limited,EQ,01-Jul-2016,10,1,INE452L01012,10
ADL,ADL.NS,'ADL.NS,'ADORWELD.NS',Archidply Decor Limited,BE,01-Oct-2020,10,1,INE0CHO01012,10
ADORWELD,ADORWELD.NS,'ADORWELD.NS,'ADROITINFO.NS',Ador Welding Limited,EQ,10-May-1995,10,1,INE045A01017,10
ADROITINFO,ADROITINFO.NS,'ADROITINFO.NS,'ADSL.NS',Adroit Infotech Limited,EQ,13-Aug-1997,10,1,INE737B01033,10
ADSL,ADSL.NS,'ADSL.NS,'ADVANIHOTR.NS',Allied Digital Services Limited,EQ,25-Jul-2007,5,1,INE102I01027,5
ADVANIHOTR,ADVANIHOTR.NS,'ADVANIHOTR.NS,'ADVENZYMES.NS',Advani Hotels & Resorts (India) Limited,EQ,25-Jun-2007,2,1,INE199C01026,2
ADVENZYMES,ADVENZYMES.NS,'ADVENZYMES.NS,'AEGISCHEM.NS',Advanced Enzyme Technologies Limited,EQ,01-Aug-2016,2,1,INE837H01020,2
AEGISCHEM,AEGISCHEM.NS,'AEGISCHEM.NS,'AFFLE.NS',Aegis Logistics Limited,EQ,03-Apr-1996,1,1,INE208C01025,1
AFFLE,AFFLE.NS,'AFFLE.NS,'AGARIND.NS',Affle (India) Limited,EQ,08-Aug-2019,10,1,INE00WC01019,10
AGARIND,AGARIND.NS,'AGARIND.NS,'AGCNET.NS',Agarwal Industrial Corporation Limited,EQ,26-May-2014,10,1,INE204E01012,10
AGCNET,AGCNET.NS,'AGCNET.NS,'AGRITECH.NS',AGC Networks Limited,EQ,22-Jul-2003,10,1,INE676A01019,10
AGRITECH,AGRITECH.NS,'AGRITECH.NS,'AGROPHOS.NS',Agri-Tech (India) Limited,EQ,28-Jan-2014,10,1,INE449G01018,10
AGROPHOS,AGROPHOS.NS,'AGROPHOS.NS,'AHLADA.NS',Agro Phos India Limited,EQ,08-Mar-2019,10,1,INE740V01019,10
AHLADA,AHLADA.NS,'AHLADA.NS,'AHLEAST.NS',Ahlada Engineers Limited,EQ,28-Jan-2021,10,1,INE00PV01013,10
AHLEAST,AHLEAST.NS,'AHLEAST.NS,'AHLUCONT.NS',Asian Hotels (East) Limited,EQ,11-Aug-2010,10,1,INE926K01017,10
AHLUCONT,AHLUCONT.NS,'AHLUCONT.NS,'AHLWEST.NS',Ahluwalia Contracts (India) Limited,EQ,14-Dec-2009,2,1,INE758C01029,2
AHLWEST,AHLWEST.NS,'AHLWEST.NS,'AIAENG.NS',Asian Hotels (West) Limited,EQ,05-Aug-2010,10,1,INE915K01010,10
AIAENG,AIAENG.NS,'AIAENG.NS,'AIRAN.NS',AIA Engineering Limited,EQ,14-Dec-2005,2,1,INE212H01026,2
AIRAN,AIRAN.NS,'AIRAN.NS,'AJANTPHARM.NS',Airan Limited,EQ,03-May-2019,2,1,INE645W01026,2
AJANTPHARM,AJANTPHARM.NS,'AJANTPHARM.NS,'AJMERA.NS',Ajanta Pharma Limited,EQ,29-May-2000,2,1,INE031B01049,2
AJMERA,AJMERA.NS,'AJMERA.NS,'AJOONI.NS',Ajmera Realty & Infra India Limited,EQ,16-Jun-2009,10,1,INE298G01027,10
AJOONI,AJOONI.NS,'AJOONI.NS,'AKASH.NS',Ajooni Biotech Limited,EQ,07-May-2021,10,1,INE820Y01013,10
AKASH,AKASH.NS,'AKASH.NS,'AKG.NS',Akash Infra-Projects Limited,EQ,11-Oct-2019,10,1,INE737W01013,10
AKG,AKG.NS,'AKG.NS,'AKSHARCHEM.NS',Akg Exim Limited,EQ,16-Feb-2021,10,1,INE00Y801016,10
AKSHARCHEM,AKSHARCHEM.NS,'AKSHARCHEM.NS,'AKSHOPTFBR.NS',AksharChem India Limited,EQ,28-Mar-2017,10,1,INE542B01011,10
AKSHOPTFBR,AKSHOPTFBR.NS,'AKSHOPTFBR.NS,'AKZOINDIA.NS',Aksh Optifibre Limited,EQ,18-Aug-2000,5,1,INE523B01011,5
AKZOINDIA,AKZOINDIA.NS,'AKZOINDIA.NS,'ALANKIT.NS',Akzo Nobel India Limited,EQ,28-Jun-2001,10,1,INE133A01011,10
ALANKIT,ALANKIT.NS,'ALANKIT.NS,'ALBERTDAVD.NS',Alankit Limited,EQ,30-Jun-2015,1,1,INE914E01040,1
ALBERTDAVD,ALBERTDAVD.NS,'ALBERTDAVD.NS,'ALEMBICLTD.NS',Albert David Limited,EQ,14-Jun-2016,10,1,INE155C01010,10
ALEMBICLTD,ALEMBICLTD.NS,'ALEMBICLTD.NS,'ALICON.NS',Alembic Limited,EQ,22-Sep-1999,2,1,INE426A01027,2
ALICON,ALICON.NS,'ALICON.NS,'ALKALI.NS',Alicon Castalloy Limited,EQ,29-Sep-2006,5,1,INE062D01024,5
ALKALI,ALKALI.NS,'ALKALI.NS,'ALKEM.NS',Alkali Metals Limited,EQ,06-Nov-2008,10,1,INE773I01017,10
ALKEM,ALKEM.NS,'ALKEM.NS,'ALKYLAMINE.NS',Alkem Laboratories Limited,EQ,23-Dec-2015,2,1,INE540L01014,2
ALKYLAMINE,ALKYLAMINE.NS,'ALKYLAMINE.NS,'ALLCARGO.NS',Alkyl Amines Chemicals Limited,EQ,26-Nov-2007,2,1,INE150B01039,2
ALLCARGO,ALLCARGO.NS,'ALLCARGO.NS,'ALLSEC.NS',Allcargo Logistics Limited,EQ,23-Jun-2006,2,1,INE418H01029,2
ALLSEC,ALLSEC.NS,'ALLSEC.NS,'ALMONDZ.NS',Allsec Technologies Limited,EQ,09-May-2005,10,1,INE835G01018,10
ALMONDZ,ALMONDZ.NS,'ALMONDZ.NS,'ALOKINDS.NS',Almondz Global Securities Limited,EQ,16-Jun-2008,6,1,INE326B01027,6
ALOKINDS,ALOKINDS.NS,'ALOKINDS.NS,'ALPA.NS',Alok Industries Limited,EQ,19-Feb-2020,1,1,INE270A01029,1
ALPA,ALPA.NS,'ALPA.NS,'ALPHAGEO.NS',Alpa Laboratories Limited,BE,06-Aug-2007,10,1,INE385I01010,10
ALPHAGEO,ALPHAGEO.NS,'ALPHAGEO.NS,'ALPSINDUS.NS',Alphageo (India) Limited,EQ,11-May-2007,10,1,INE137C01018,10
ALPSINDUS,ALPSINDUS.NS,'ALPSINDUS.NS,'AMARAJABAT.NS',Alps Industries Limited,EQ,24-Apr-1996,10,1,INE093B01015,10
AMARAJABAT,AMARAJABAT.NS,'AMARAJABAT.NS,'AMBER.NS',Amara Raja Batteries Limited,EQ,05-Sep-2003,1,1,INE885A01032,1
AMBER,AMBER.NS,'AMBER.NS,'AMBICAAGAR.NS',Amber Enterprises India Limited,EQ,30-Jan-2018,10,1,INE371P01015,10
AMBICAAGAR,AMBICAAGAR.NS,'AMBICAAGAR.NS,'AMBIKCO.NS',Ambica Agarbathies & Aroma industries Limited,EQ,29-Jun-2004,10,1,INE792B01012,10
AMBIKCO,AMBIKCO.NS,'AMBIKCO.NS,'AMBUJACEM.NS',Ambika Cotton Mills Limited,EQ,29-Jan-2008,10,1,INE540G01014,10
AMBUJACEM,AMBUJACEM.NS,'AMBUJACEM.NS,'AMDIND.NS',Ambuja Cements Limited,EQ,18-Feb-1998,2,1,INE079A01024,2
AMDIND,AMDIND.NS,'AMDIND.NS,'AMJLAND.NS',AMD Industries Limited,EQ,19-Mar-2007,10,1,INE005I01014,10
AMJLAND,AMJLAND.NS,'AMJLAND.NS,'AMRUTANJAN.NS',Amj Land Holdings Limited,EQ,08-Feb-1995,2,1,INE606A01024,2
AMRUTANJAN,AMRUTANJAN.NS,'AMRUTANJAN.NS,'ANANTRAJ.NS',Amrutanjan Health Care Limited,EQ,02-Jan-2015,1,1,INE098F01031,1
ANANTRAJ,ANANTRAJ.NS,'ANANTRAJ.NS,'ANDHRACEMT.NS',Anant Raj Limited,EQ,27-Sep-2006,2,1,INE242C01024,2
ANDHRACEMT,ANDHRACEMT.NS,'ANDHRACEMT.NS,'ANDHRAPAP.NS',Andhra Cements Limited,EQ,08-Nov-2010,10,1,INE666E01012,10
ANDHRAPAP,ANDHRAPAP.NS,'ANDHRAPAP.NS,'ANDHRSUGAR.NS',ANDHRA PAPER LIMITED,EQ,13-May-2004,10,1,INE435A01028,10
ANDHRSUGAR,ANDHRSUGAR.NS,'ANDHRSUGAR.NS,'ANGELBRKG.NS',The Andhra Sugars Limited,EQ,01-Nov-1995,10,1,INE715B01013,10
ANGELBRKG,ANGELBRKG.NS,'ANGELBRKG.NS,'ANIKINDS.NS',Angel Broking Limited,EQ,05-Oct-2020,10,1,INE732I01013,10
ANIKINDS,ANIKINDS.NS,'ANIKINDS.NS,'ANKITMETAL.NS',Anik Industries Limited,EQ,21-May-2008,10,1,INE087B01017,10
ANKITMETAL,ANKITMETAL.NS,'ANKITMETAL.NS,'ANSALAPI.NS',Ankit Metal & Power Limited,EQ,14-Mar-2013,10,1,INE106I01010,10
ANSALAPI,ANSALAPI.NS,'ANSALAPI.NS,'ANSALHSG.NS',Ansal Properties & Infrastructure Limited,EQ,27-Jan-2006,5,1,INE436A01026,5
ANSALHSG,ANSALHSG.NS,'ANSALHSG.NS,'ANUP.NS',Ansal Housing Limited,EQ,06-Oct-2006,10,1,INE880B01015,10
ANUP,ANUP.NS,'ANUP.NS,'ANURAS.NS',The Anup Engineering Limited,EQ,01-Mar-2019,10,1,INE294Z01018,10
ANURAS,ANURAS.NS,'ANURAS.NS,'APARINDS.NS',Anupam Rasayan India Limited,EQ,24-Mar-2021,10,1,INE930P01018,10
APARINDS,APARINDS.NS,'APARINDS.NS,'APCL.NS',Apar Industries Limited,EQ,12-Jul-2004,10,1,INE372A01015,10
APCL,APCL.NS,'APCL.NS,'APCOTEXIND.NS',Anjani Portland Cement Limited,EQ,10-Apr-2017,10,1,INE071F01012,10
APCOTEXIND,APCOTEXIND.NS,'APCOTEXIND.NS,'APEX.NS',Apcotex Industries Limited,EQ,06-Sep-1995,2,1,INE116A01032,2
APEX,APEX.NS,'APEX.NS,'APLAPOLLO.NS',Apex Frozen Foods Limited,EQ,04-Sep-2017,10,1,INE346W01013,10
APLAPOLLO,APLAPOLLO.NS,'APLAPOLLO.NS,'APLLTD.NS',APL Apollo Tubes Limited,EQ,14-Dec-2011,2,1,INE702C01027,2
APLLTD,APLLTD.NS,'APLLTD.NS,'APOLLO.NS',Alembic Pharmaceuticals Limited,EQ,20-Sep-2011,2,1,INE901L01018,2
APOLLO,APOLLO.NS,'APOLLO.NS,'APOLLOHOSP.NS',Apollo Micro Systems Limited,EQ,22-Jan-2018,10,1,INE713T01010,10
APOLLOHOSP,APOLLOHOSP.NS,'APOLLOHOSP.NS,'APOLLOPIPE.NS',Apollo Hospitals Enterprise Limited,EQ,10-Jan-1996,5,1,INE437A01024,5
APOLLOPIPE,APOLLOPIPE.NS,'APOLLOPIPE.NS,'APOLLOTYRE.NS',Apollo Pipes Limited,EQ,11-Nov-2019,10,1,INE126J01016,10
APOLLOTYRE,APOLLOTYRE.NS,'APOLLOTYRE.NS,'APOLSINHOT.NS',Apollo Tyres Limited,EQ,31-May-1995,1,1,INE438A01022,1
APOLSINHOT,APOLSINHOT.NS,'APOLSINHOT.NS,'APTECHT.NS',Apollo Sindoori Hotels Limited,EQ,28-Jan-2015,5,1,INE451F01024,5
APTECHT,APTECHT.NS,'APTECHT.NS,'ARCHIDPLY.NS',Aptech Limited,EQ,27-Sep-2002,10,1,INE266F01018,10
ARCHIDPLY,ARCHIDPLY.NS,'ARCHIDPLY.NS,'ARCHIES.NS',Archidply Industries Limited,EQ,04-Jul-2008,10,1,INE877I01016,10
ARCHIES,ARCHIES.NS,'ARCHIES.NS,'ARENTERP.NS',Archies Limited,EQ,02-Sep-1998,2,1,INE731A01020,2
ARENTERP,ARENTERP.NS,'ARENTERP.NS,'ARIES.NS',Rajdarshan Industries Limited,EQ,18-Oct-1995,10,1,INE610C01014,10
ARIES,ARIES.NS,'ARIES.NS,'ARIHANT.NS',Aries Agro Limited,EQ,11-Jan-2008,10,1,INE298I01015,10
ARIHANT,ARIHANT.NS,'ARIHANT.NS,'ARIHANTSUP.NS',Arihant Foundations & Housing Limited,EQ,26-Dec-2006,10,1,INE413D01011,10
ARIHANTSUP,ARIHANTSUP.NS,'ARIHANTSUP.NS,'ARMANFIN.NS',Arihant Superstructures Limited,BE,28-Mar-2017,10,1,INE643K01018,10
ARMANFIN,ARMANFIN.NS,'ARMANFIN.NS,'AROGRANITE.NS',Arman Financial Services Limited,EQ,14-Jun-2016,10,1,INE109C01017,10
AROGRANITE,AROGRANITE.NS,'AROGRANITE.NS,'ARROWGREEN.NS',Aro Granite Industries Limited,EQ,24-Apr-2007,10,1,INE210C01013,10
ARROWGREEN,ARROWGREEN.NS,'ARROWGREEN.NS,'ARSHIYA.NS',Arrow Greentech Limited,EQ,21-May-2015,10,1,INE570D01018,10
ARSHIYA,ARSHIYA.NS,'ARSHIYA.NS,'ARSSINFRA.NS',Arshiya Limited,EQ,14-Dec-2009,2,1,INE968D01022,2
ARSSINFRA,ARSSINFRA.NS,'ARSSINFRA.NS,'ARTEMISMED.NS',ARSS Infrastructure Projects Limited,EQ,03-Mar-2010,10,1,INE267I01010,10
ARTEMISMED,ARTEMISMED.NS,'ARTEMISMED.NS,'ARVEE.NS',Artemis Medicare Services Limited,EQ,23-Jan-2020,10,1,INE025R01013,10
ARVEE,ARVEE.NS,'ARVEE.NS,'ARVIND.NS',Arvee Laboratories (India) Limited,BE,22-Mar-2021,10,1,INE006Z01016,10
ARVIND,ARVIND.NS,'ARVIND.NS,'ARVINDFASN.NS',Arvind Limited,EQ,08-Feb-1995,10,1,INE034A01011,10
ARVINDFASN,ARVINDFASN.NS,'ARVINDFASN.NS,'ARVSMART.NS',Arvind Fashions Limited,EQ,08-Mar-2019,4,1,INE955V01021,4
ARVSMART,ARVSMART.NS,'ARVSMART.NS,'ASAHIINDIA.NS',Arvind SmartSpaces Limited,EQ,26-Aug-2015,10,1,INE034S01021,10
ASAHIINDIA,ASAHIINDIA.NS,'ASAHIINDIA.NS,'ASAHISONG.NS',Asahi India Glass Limited,EQ,18-Mar-1998,1,1,INE439A01020,1
ASAHISONG,ASAHISONG.NS,'ASAHISONG.NS,'ASAL.NS',Asahi Songwon Colors Limited,EQ,29-Aug-2011,10,1,INE228I01012,10
ASAL,ASAL.NS,'ASAL.NS,'ASALCBR.NS',Automotive Stampings and Assemblies Limited,EQ,12-Mar-2002,10,1,INE900C01027,10
ASALCBR,ASALCBR.NS,'ASALCBR.NS,'ASHAPURMIN.NS',Associated Alcohols & Breweries Ltd.,EQ,12-Feb-2020,10,1,INE073G01016,10
ASHAPURMIN,ASHAPURMIN.NS,'ASHAPURMIN.NS,'ASHIANA.NS',Ashapura Minechem Limited,EQ,20-Sep-1995,2,1,INE348A01023,2
ASHIANA,ASHIANA.NS,'ASHIANA.NS,'ASHIMASYN.NS',Ashiana Housing Limited,EQ,29-Jun-2011,2,1,INE365D01021,2
ASHIMASYN,ASHIMASYN.NS,'ASHIMASYN.NS,'ASHOKA.NS',Ashima Limited,EQ,27-Jul-1995,10,1,INE440A01010,10
ASHOKA,ASHOKA.NS,'ASHOKA.NS,'ASHOKLEY.NS',Ashoka Buildcon Limited,EQ,14-Oct-2010,5,1,INE442H01029,5
ASHOKLEY,ASHOKLEY.NS,'ASHOKLEY.NS,'ASIANHOTNR.NS',Ashok Leyland Limited,EQ,25-May-1995,1,1,INE208A01029,1
ASIANHOTNR,ASIANHOTNR.NS,'ASIANHOTNR.NS,'ASIANPAINT.NS',Asian Hotels (North) Limited,EQ,07-Apr-2010,10,1,INE363A01022,10
ASIANPAINT,ASIANPAINT.NS,'ASIANPAINT.NS,'ASIANTILES.NS',Asian Paints Limited,EQ,31-May-1995,1,1,INE021A01026,1
ASIANTILES,ASIANTILES.NS,'ASIANTILES.NS,'ASPINWALL.NS',Asian Granito India Limited,EQ,23-Aug-2007,10,1,INE022I01019,10
ASPINWALL,ASPINWALL.NS,'ASPINWALL.NS,'ASTEC.NS',Aspinwall and Company Limited,EQ,14-Jun-2016,10,1,INE991I01015,10
ASTEC,ASTEC.NS,'ASTEC.NS,'ASTERDM.NS',Astec LifeSciences Limited,EQ,25-Nov-2009,10,1,INE563J01010,10
ASTERDM,ASTERDM.NS,'ASTERDM.NS,'ASTRAL.NS',Aster DM Healthcare Limited,EQ,26-Feb-2018,10,1,INE914M01019,10
ASTRAL,ASTRAL.NS,'ASTRAL.NS,'ASTRAMICRO.NS',Astral Limited,EQ,20-Mar-2007,1,1,INE006I01046,1
ASTRAMICRO,ASTRAMICRO.NS,'ASTRAMICRO.NS,'ASTRAZEN.NS',Astra Microwave Products Limited,EQ,01-Nov-2004,2,1,INE386C01029,2
ASTRAZEN,ASTRAZEN.NS,'ASTRAZEN.NS,'ASTRON.NS',AstraZeneca Pharma India Limited,EQ,04-May-2001,2,1,INE203A01020,2
ASTRON,ASTRON.NS,'ASTRON.NS,'ATFL.NS',Astron Paper & Board Mill Limited,EQ,29-Dec-2017,10,1,INE646X01014,10
ATFL,ATFL.NS,'ATFL.NS,'ATGL.NS',Agro Tech Foods Limited,EQ,06-Dec-2002,10,1,INE209A01019,10
ATGL,ATGL.NS,'ATGL.NS,'ATLANTA.NS',Adani Total Gas Limited,EQ,05-Nov-2018,1,1,INE399L01023,1
ATLANTA,ATLANTA.NS,'ATLANTA.NS,'ATUL.NS',Atlanta  Limited,EQ,25-Sep-2006,2,1,INE285H01022,2
ATUL,ATUL.NS,'ATUL.NS,'ATULAUTO.NS',Atul Limited,EQ,06-May-1998,10,1,INE100A01010,10
ATULAUTO,ATULAUTO.NS,'ATULAUTO.NS,'AUBANK.NS',Atul Auto Limited,EQ,26-Jun-2013,5,1,INE951D01028,5
AUBANK,AUBANK.NS,'AUBANK.NS,'AURIONPRO.NS',AU Small Finance Bank Limited,EQ,10-Jul-2017,10,1,INE949L01017,10
AURIONPRO,AURIONPRO.NS,'AURIONPRO.NS,'AUROPHARMA.NS',Aurionpro Solutions Limited,EQ,25-Oct-2005,10,1,INE132H01018,10
AUROPHARMA,AUROPHARMA.NS,'AUROPHARMA.NS,'AUSOMENT.NS',Aurobindo Pharma Limited,EQ,19-Jul-2000,1,1,INE406A01037,1
AUSOMENT,AUSOMENT.NS,'AUSOMENT.NS,'AUTOAXLES.NS',Ausom Enterprise Limited,EQ,17-Apr-1996,10,1,INE218C01016,10
AUTOAXLES,AUTOAXLES.NS,'AUTOAXLES.NS,'AUTOIND.NS',Automotive Axles Limited,EQ,29-May-2003,10,1,INE449A01011,10
AUTOIND,AUTOIND.NS,'AUTOIND.NS,'AVADHSUGAR.NS',Autoline Industries Limited,EQ,31-Jan-2007,10,1,INE718H01014,10
AVADHSUGAR,AVADHSUGAR.NS,'AVADHSUGAR.NS,'AVANTIFEED.NS',Avadh Sugar & Energy Limited,EQ,28-Jul-2017,10,1,INE349W01017,10
AVANTIFEED,AVANTIFEED.NS,'AVANTIFEED.NS,'AVTNPL.NS',Avanti Feeds Limited,EQ,15-Apr-2015,1,1,INE871C01038,1
AVTNPL,AVTNPL.NS,'AVTNPL.NS,'AWHCL.NS',AVT Natural Products Limited,EQ,10-Jan-2007,1,1,INE488D01021,1
AWHCL,AWHCL.NS,'AWHCL.NS,'AXISBANK.NS',Antony Waste Handling Cell Limited,EQ,01-Jan-2021,5,1,INE01BK01022,5
AXISBANK,AXISBANK.NS,'AXISBANK.NS,'AXISCADES.NS',Axis Bank Limited,EQ,16-Nov-1998,2,1,INE238A01034,2
AXISCADES,AXISCADES.NS,'AXISCADES.NS,'AYMSYNTEX.NS',AXISCADES Technologies Limited,EQ,21-Dec-2000,5,1,INE555B01013,5
AYMSYNTEX,AYMSYNTEX.NS,'AYMSYNTEX.NS,'BAFNAPH.NS',AYM Syntex Limited,EQ,14-Aug-2015,10,1,INE193B01039,10
BAFNAPH,BAFNAPH.NS,'BAFNAPH.NS,'BAGFILMS.NS',Bafna Pharmaceuticals Limited,EQ,27-Feb-2020,10,1,INE878I01022,10
BAGFILMS,BAGFILMS.NS,'BAGFILMS.NS,'BAJAJ-AUTO.NS',B.A.G Films and Media Limited,BE,17-Oct-2003,2,1,INE116D01028,2
BAJAJ-AUTO,BAJAJ-AUTO.NS,'BAJAJ-AUTO.NS,'BAJAJCON.NS',Bajaj Auto Limited,EQ,26-May-2008,10,1,INE917I01010,10
BAJAJCON,BAJAJCON.NS,'BAJAJCON.NS,'BAJAJELEC.NS',Bajaj Consumer Care Limited,EQ,18-Aug-2010,1,1,INE933K01021,1
BAJAJELEC,BAJAJELEC.NS,'BAJAJELEC.NS,'BAJAJFINSV.NS',Bajaj Electricals Limited,EQ,02-Nov-2007,2,1,INE193E01025,2
BAJAJFINSV,BAJAJFINSV.NS,'BAJAJFINSV.NS,'BAJAJHIND.NS',Bajaj Finserv Limited,EQ,26-May-2008,5,1,INE918I01018,5
BAJAJHIND,BAJAJHIND.NS,'BAJAJHIND.NS,'BAJAJHLDNG.NS',Bajaj Hindusthan Sugar Limited,EQ,10-May-1995,1,1,INE306A01021,1
BAJAJHLDNG,BAJAJHLDNG.NS,'BAJAJHLDNG.NS,'BAJFINANCE.NS',Bajaj Holdings & Investment Limited,EQ,15-Mar-1995,10,1,INE118A01012,10
BAJFINANCE,BAJFINANCE.NS,'BAJFINANCE.NS,'BALAJITELE.NS',Bajaj Finance Limited,EQ,01-Apr-2003,2,1,INE296A01024,2
BALAJITELE,BALAJITELE.NS,'BALAJITELE.NS,'BALAMINES.NS',Balaji Telefilms Limited,EQ,22-Nov-2000,2,1,INE794B01026,2
BALAMINES,BALAMINES.NS,'BALAMINES.NS,'BALAXI.NS',Balaji Amines Limited,EQ,05-Apr-2007,2,1,INE050E01027,2
BALAXI,BALAXI.NS,'BALAXI.NS,'BALKRISHNA.NS',BALAXI PHARMACEUTICALS LIMITED,EQ,30-Nov-2015,10,1,INE618N01014,10
BALKRISHNA,BALKRISHNA.NS,'BALKRISHNA.NS,'BALKRISIND.NS',Balkrishna Paper Mills Limited,EQ,28-Jul-2015,10,1,INE875R01011,10
BALKRISIND,BALKRISIND.NS,'BALKRISIND.NS,'BALLARPUR.NS',Balkrishna Industries Limited,EQ,27-Jan-2006,2,1,INE787D01026,2
BALLARPUR,BALLARPUR.NS,'BALLARPUR.NS,'BALMLAWRIE.NS',Ballarpur Industries Limited,BZ,31-Mar-2008,2,1,INE294A01037,2
