SYMBOL,SYMBOL WITH NS,'SYMBOL WITH NS,TICKERS,NAME OF COMPANY,SERIES,DATE OF LISTING,PAID UP VALUE,MARKET LOT,ISIN NUMBER,FACE VALUE
SITINET,SITINET.NS,'SITINET.NS,'SIYSIL.NS',Siti Networks Limited,EQ,10-Jan-2007,1,1,INE965H01011,1
SIYSIL,SIYSIL.NS,'SIYSIL.NS,'SJVN.NS',Siyaram Silk Mills Limited,EQ,29-Jan-2007,2,1,INE076B01028,2
SJVN,SJVN.NS,'SJVN.NS,'SKFINDIA.NS',SJVN Limited,EQ,20-May-2010,10,1,INE002L01015,10
SKFINDIA,SKFINDIA.NS,'SKFINDIA.NS,'SKIL.NS',SKF India Limited,EQ,27-Jan-1999,10,1,INE640A01023,10
SKIL,SKIL.NS,'SKIL.NS,'SKIPPER.NS',SKIL Infrastructure Limited,EQ,09-Oct-1996,10,1,INE429F01012,10
SKIPPER,SKIPPER.NS,'SKIPPER.NS,'SKMEGGPROD.NS',Skipper Limited,EQ,27-May-2015,1,1,INE439E01022,1
SKMEGGPROD,SKMEGGPROD.NS,'SKMEGGPROD.NS,'SMARTLINK.NS',SKM Egg Products Export (India) Limited,EQ,14-Mar-1997,10,1,INE411D01015,10
SMARTLINK,SMARTLINK.NS,'SMARTLINK.NS,'SMCGLOBAL.NS',Smartlink Holdings Limited,EQ,11-Apr-2001,2,1,INE178C01020,2
SMCGLOBAL,SMCGLOBAL.NS,'SMCGLOBAL.NS,'SMLISUZU.NS',SMC Global Securities Limited,EQ,24-Feb-2021,2,1,INE103C01036,2
SMLISUZU,SMLISUZU.NS,'SMLISUZU.NS,'SMPL.NS',SML Isuzu Limited,EQ,29-Aug-2003,10,1,INE294B01019,10
SMPL,SMPL.NS,'SMPL.NS,'SMSLIFE.NS',Splendid Metal Products Limited,BZ,09-Mar-2010,5,1,INE215G01021,5
SMSLIFE,SMSLIFE.NS,'SMSLIFE.NS,'SMSPHARMA.NS',SMS Lifesciences India Limited,EQ,17-Aug-2017,10,1,INE320X01016,10
SMSPHARMA,SMSPHARMA.NS,'SMSPHARMA.NS,'SNOWMAN.NS',SMS Pharmaceuticals Limited,EQ,28-Feb-2007,1,1,INE812G01025,1
SNOWMAN,SNOWMAN.NS,'SNOWMAN.NS,'SOBHA.NS',Snowman Logistics Limited,EQ,12-Sep-2014,10,1,INE734N01019,10
SOBHA,SOBHA.NS,'SOBHA.NS,'SOLARA.NS',Sobha Limited,EQ,20-Dec-2006,10,1,INE671H01015,10
SOLARA,SOLARA.NS,'SOLARA.NS,'SOLARINDS.NS',Solara Active Pharma Sciences Limited,EQ,27-Jun-2018,10,1,INE624Z01016,10
SOLARINDS,SOLARINDS.NS,'SOLARINDS.NS,'SOMANYCERA.NS',Solar Industries India Limited,EQ,03-Apr-2006,2,1,INE343H01029,2
SOMANYCERA,SOMANYCERA.NS,'SOMANYCERA.NS,'SOMATEX.NS',Somany Ceramics Limited,EQ,22-Nov-1995,2,1,INE355A01028,2
