Security Code,Issuer Name,Security Id,SYMBOL WITH BO,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument
531215,,RTSPOWR,RTSPOWR.BO,RTS POWER CORPORATION LTD.,Active,X,10,INE005C01017,Other Elect.Equip./ Prod.,Equity
531216,,COMFINTE,COMFINTE.BO,COMFORT INTECH LTD.-$,Active,X,10,INE819A01031,Finance (including NBFCs),Equity
531221,,MAYURFL,MAYURFL.BO,MAYUR FLOORINGS LTD.,Active,XT,10,INE262W01012,Construction Materials,Equity
531223,,ANJANI,ANJANI.BO,ANJANI SYNTHETICS LTD.-$,Active,X,10,INE364D01032,Textiles,Equity
531225,,XTGLOBAL,XTGLOBAL.BO,Xtglobal Infotech Ltd,Active,X,1,INE547B01028,IT Software Products,Equity
531227,,DECOMIC,DECOMIC.BO,DECO-MICA LTD.,Active,P,10,INE907E01010,Commodity Chemicals,Equity
531228,,RANDER,RANDER.BO,RANDER CORPORATION LTD.,Active,X,10,INE821D01031,Finance (including NBFCs),Equity
531233,,RASIELEC,RASIELEC.BO,RASI ELECTRODES LTD.,Active,X,2,INE822D01021,Other Industrial Goods,Equity
531234,,VICTORYPP,VICTORYPP.BO,VICTORY PAPER & BOARDS (INDIA) LTD.,Active,X,10,INE962E01015,Paper & Paper Products,Equity
531235,,CITIPOR,CITIPOR.BO,CITIPORT FINANCIAL SERVICES LTD.,Active,XT,10,INE494D01011,Finance (including NBFCs),Equity
531237,,DHRUVCA,DHRUVCA.BO,DHRUVA CAPITAL SERVICES LTD.,Active,X,10,INE972E01014,Finance (including NBFCs),Equity
531241,,LINCPENQ,LINCPENQ.BO,LINC PEN & PLASTICS LTD.-$,Active,B,10,INE802B01019,Non-Durable Household Prod.,Equity
531246,,PRIMAIN,PRIMAIN.BO,PRIMA INDUSTRIES LTD.,Active,XT,10,INE723N01012,Edible Oils,Equity
531252,,ANERI,ANERI.BO,Aneri Fincap Ltd,Active,X,10,INE720D01019,Finance (including NBFCs),Equity
531253,,INDGELA,INDGELA.BO,INDIA GELATINE & CHEMICALS LTD.-$,Active,X,10,INE342D01012,Specialty Chemicals,Equity
531254,,OPTIFIN,OPTIFIN.BO,Optimus Finance Ltd,Active,X,10,INE031G01014,Finance (including NBFCs),Equity
531255,,PARAGONF,PARAGONF.BO,PARAGON FINANCE LTD.,Active,X,10,INE015E01012,Finance (including NBFCs),Equity
531257,,PRATIKSH,PRATIKSH.BO,PRATIKSHA CHEMICALS LTD.,Active,XT,10,INE530D01012,Specialty Chemicals,Equity
531259,,ESHAMEDIA,ESHAMEDIA.BO,Esha Media Research Limited,Active,XT,10,INE328F01016,Advertising & Media,Equity
531260,,SUNEDISON,SUNEDISON.BO,Sunedison Infrastructure Ltd,Active,X,10,INE332F01018,Electric Utilities,Equity
531265,,PROGREXV,PROGREXV.BO,Progrex Ventures Ltd,Active,XT,10,INE421E01012,Other Food Products,Equity
531266,,VSTTILLERS,VSTTILLERS.BO,V.S.T.TILLERS TRACTORS LTD.-$,Active,A,10,INE764D01017,Commercial Vehicles,Equity
531268,,B2BSOFT,B2BSOFT.BO,B2B SOFTWARE TECHNOLOGIES LTD.,Active,XT,10,INE151B01011,IT Software Products,Equity
531272,,NIKKIGL,NIKKIGL.BO,NIKKI GLOBAL FINANCE LTD.,Active,X,10,INE526C01012,Finance (including NBFCs),Equity
531273,,RADHEDE,RADHEDE.BO,RADHE DEVELOPERS (INDIA) LTD.,Active,X,10,INE986B01036,Realty,Equity
531274,,KINETRU,KINETRU.BO,KINETIC TRUST LTD.,Active,XT,10,INE674M01019,Finance (including NBFCs),Equity
531278,,ELIXIR,ELIXIR.BO,Elixir Capital Ltd,Active,X,10,INE785D01012,Other Financial Services,Equity
531280,,PANKAJPO,PANKAJPO.BO,PANKAJ POLYMERS LTD.,Active,X,10,INE698B01011,Containers & Packaging,Equity
531281,,PGINDST,PGINDST.BO,PG INDUSTRY LTD.,Active,XT,5,INE807H01023,Construction Materials,Equity
531283,,CINDRELL,CINDRELL.BO,CINDRELLA FINANCIAL SERVICES LTD.,Active,XT,10,INE897D01015,Finance (including NBFCs),Equity
531287,,NATPLASTI,NATPLASTI.BO,NATIONAL PLASTIC TECHNOLOGIES LTD.,Active,X,10,INE896D01017,Plastic Products,Equity
531288,,LEADFIN,LEADFIN.BO,LEAD FINANCIAL SERVICES LTD.,Active,XT,10,INE531D01010,Finance (including NBFCs),Equity
531289,,NATFIT,NATFIT.BO,National Fittings Limited,Active,X,10,INE643C01015,Iron & Steel Products,Equity
531297,,ARTEFACT,ARTEFACT.BO,ARTEFACT PROJECTS LTD.,Active,X,10,INE885B01014,Consulting Services,Equity
531300,,AMITINT,AMITINT.BO,AMIT INTERNATIONAL LTD.,Active,XT,10,INE053D01015,Textiles,Equity
531301,,HIGHSTREE,HIGHSTREE.BO,HIGH STREET FILATEX LTD.,Active,X,10,INE319M01011,Textiles,Equity
531304,,NUTECGLOB,NUTECGLOB.BO,NUTECH GLOBAL LTD.,Active,X,10,INE960H01012,Textiles,Equity
531306,,DHPIND,DHPIND.BO,DHP INDIA LTD.,Active,X,10,INE590D01016,Industrial Machinery,Equity
531307,,RRIL,RRIL.BO,RRIL Ltd,Active,XT,5,INE951M01037,Textiles,Equity
531310,,AVAILFC,AVAILFC.BO,AVAILABLE FINANCE LTD.,Active,X,10,INE325G01010,Other Financial Services,Equity
531314,,INTCAPM,INTCAPM.BO,INTEGRA CAPITAL MANAGEMENT LTD.,Active,X,10,INE366H01012,Finance (including NBFCs),Equity
531319,,MARUTISE,MARUTISE.BO,MARUTI SECURITIES LTD.,Active,X,10,INE368C01019,Finance (including NBFCs),Equity
531322,,HAVISHA,HAVISHA.BO,Sri Havisha Hospitality And Infrastructure Ltd,Active,T,2,INE293B01029,Oil Marketing & Distribution,Equity
